,column_name,file,freq_item
0,Business_Website_or_Other_URL,5694-9szk.tsv.gz,PythonRDD[1888] at RDD at PythonRDD.scala:53
1,StreetName,uwyv-629c.tsv.gz,PythonRDD[1889] at RDD at PythonRDD.scala:53
2,Vehicle_Color,faiq-9dfq.tsv.gz,PythonRDD[1890] at RDD at PythonRDD.scala:53
3,BUSINESS_NAME2,qcdj-rwhu.tsv.gz,[0]
4,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,6ypq-ih9a.tsv.gz,[0]
5,Vehicle_Color,pvqr-7yc4.tsv.gz,PythonRDD[1891] at RDD at PythonRDD.scala:53
6,BRONX_CONDOMINIUM_PROPERTY_Building_Classification,en2c-j6tw.tsv.gz,PythonRDD[1892] at RDD at PythonRDD.scala:53
7,interest6,uq7m-95z8.tsv.gz,PythonRDD[1893] at RDD at PythonRDD.scala:53
8,WEBSITE,5ziv-wcy4.tsv.gz,PythonRDD[1894] at RDD at PythonRDD.scala:53
9,CrossStreetName,ydkf-mpxb.tsv.gz,PythonRDD[1895] at RDD at PythonRDD.scala:53
10,Applicant_Last_Name,w9ak-ipjd.tsv.gz,PythonRDD[1896] at RDD at PythonRDD.scala:53
11,Respondent_Address__City_,jz4z-kudi.tsv.gz,[0]
12,Owner_Street_Address,rbx6-tga4.tsv.gz,PythonRDD[1897] at RDD at PythonRDD.scala:53
13,Agency_Name,sqmu-2ixd.tsv.gz,PythonRDD[1898] at RDD at PythonRDD.scala:53
14,Incident_Zip,aiww-p3af.tsv.gz,PythonRDD[1899] at RDD at PythonRDD.scala:53
15,Org_Name,mmvm-mvi3.tsv.gz,PythonRDD[1900] at RDD at PythonRDD.scala:53
16,VEHICLE_TYPE_CODE_5,h9gi-nx95.tsv.gz,PythonRDD[1901] at RDD at PythonRDD.scala:53
17,Borough,uh2w-zjsn.tsv.gz,PythonRDD[1902] at RDD at PythonRDD.scala:53
18,FromStreetName,tqtj-sjs8.tsv.gz,PythonRDD[1903] at RDD at PythonRDD.scala:53
19,Color,mqdy-gu73.tsv.gz,PythonRDD[1904] at RDD at PythonRDD.scala:53
20,Agency,7jkp-5w5g.tsv.gz,PythonRDD[1905] at RDD at PythonRDD.scala:53
21,QUEENS_CONDOMINIUM_PROPERTY_Building_Classification,s3zn-tf7c.tsv.gz,PythonRDD[1906] at RDD at PythonRDD.scala:53
22,School_Name,sqcr-6mww.tsv.gz,PythonRDD[1907] at RDD at PythonRDD.scala:53
23,SCHOOL_LEVEL_,vrn4-2abs.tsv.gz,[0]
24,PERSON_LAST_NAME,2sps-j9st.tsv.gz,PythonRDD[1908] at RDD at PythonRDD.scala:53
25,DBA,2bmr-jdsv.tsv.gz,PythonRDD[1909] at RDD at PythonRDD.scala:53
26,Address,4d7f-74pe.tsv.gz,PythonRDD[1910] at RDD at PythonRDD.scala:53
27,address,ji82-xba5.tsv.gz,PythonRDD[1911] at RDD at PythonRDD.scala:53
28,School_Name,hy4q-igkk.tsv.gz,PythonRDD[1912] at RDD at PythonRDD.scala:53
29,EMPCITY,s9d3-x4fz.tsv.gz,PythonRDD[1913] at RDD at PythonRDD.scala:53
30,PREM_TYP_DESC,5uac-w243.tsv.gz,[0]
31,EMPCITY,64gx-bycn.tsv.gz,PythonRDD[1914] at RDD at PythonRDD.scala:53
32,CANDMI,e9xc-u3ds.tsv.gz,PythonRDD[1915] at RDD at PythonRDD.scala:53
33,VEHICLE_TYPE_CODE_3,h9gi-nx95.tsv.gz,PythonRDD[1916] at RDD at PythonRDD.scala:53
34,HOUSE_NUMBER,p937-wjvj.tsv.gz,[0]
35,SCHOOL_LEVEL_,dj4e-3xrn.tsv.gz,[0]
36,MI,qu8g-sxqf.tsv.gz,PythonRDD[1917] at RDD at PythonRDD.scala:53
37,Middle_Initial,mdcw-n682.tsv.gz,PythonRDD[1918] at RDD at PythonRDD.scala:53
38,DVC_MAKE,pq5i-thsu.tsv.gz,[0]
39,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,ub9e-s7ai.tsv.gz,[0]
40,Owner_First_Name,52dp-yji6.tsv.gz,PythonRDD[1919] at RDD at PythonRDD.scala:53
41,Respondent_Address__Zip_Code_,jz4z-kudi.tsv.gz,[0]
42,MI,vx8i-nprf.tsv.gz,PythonRDD[1920] at RDD at PythonRDD.scala:53
43,Location_1,k3cd-yu9d.tsv.gz,PythonRDD[1921] at RDD at PythonRDD.scala:53
44,PRINCIPAL_PHONE_NUMBER,p6h4-mpyy.tsv.gz,[0]
45,CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,sybh-s59s.tsv.gz,[0]
46,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,kz72-dump.tsv.gz,[0]
47,Provider_Last_Name,7btz-mnc8.tsv.gz,PythonRDD[1922] at RDD at PythonRDD.scala:53
48,TOP_VEHICLE_MODELS___5,ph7v-u5f3.tsv.gz,[0]
49,SCHOOL_LEVEL_,mjux-q9d4.tsv.gz,[0]
50,Borough,hjvj-jfc9.tsv.gz,PythonRDD[1923] at RDD at PythonRDD.scala:53
51,VEHICLE_TYPE_CODE_2,h9gi-nx95.tsv.gz,PythonRDD[1924] at RDD at PythonRDD.scala:53
52,CITY,easq-ubfe.tsv.gz,PythonRDD[1925] at RDD at PythonRDD.scala:53
53,BORO,sv2w-rv3k.tsv.gz,PythonRDD[1926] at RDD at PythonRDD.scala:53
54,First_Name,qu8g-sxqf.tsv.gz,PythonRDD[1927] at RDD at PythonRDD.scala:53
55,Site_Safety_Mgr_s_First_Name,ipu4-2q9a.tsv.gz,[0]
56,Site_Safety_Mgr_s_Last_Name,ipu4-2q9a.tsv.gz,[0]
57,CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,pgtq-ht5f.tsv.gz,[0]
58,Owner_Last_Name,52dp-yji6.tsv.gz,PythonRDD[1928] at RDD at PythonRDD.scala:53
59,interest4,s3k6-pzi2.tsv.gz,PythonRDD[1929] at RDD at PythonRDD.scala:53
60,SCHOOL_NAME,4y63-yw9e.tsv.gz,PythonRDD[1930] at RDD at PythonRDD.scala:53
61,CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,gez6-674h.tsv.gz,[0]
62,MI,a9md-ynri.tsv.gz,PythonRDD[1931] at RDD at PythonRDD.scala:53
63,Independent_Website,u553-m549.tsv.gz,PythonRDD[1932] at RDD at PythonRDD.scala:53
64,Street_Name,uzcy-9puk.tsv.gz,PythonRDD[1933] at RDD at PythonRDD.scala:53
65,VendorAddress,dg92-zbpx.tsv.gz,PythonRDD[1934] at RDD at PythonRDD.scala:53
66,QUEENS_____CONDOMINIUMS_COMPARABLE_PROPERTIES_____Neighborhood,jcih-dj9q.tsv.gz,[0]
67,CANDMI,735p-zed8.tsv.gz,PythonRDD[1935] at RDD at PythonRDD.scala:53
68,CITY,vg63-xw6u.tsv.gz,PythonRDD[1936] at RDD at PythonRDD.scala:53
69,Cross_Street_1,aiww-p3af.tsv.gz,PythonRDD[1937] at RDD at PythonRDD.scala:53
70,Agency,sa5w-dn2t.tsv.gz,PythonRDD[1938] at RDD at PythonRDD.scala:53
71,ADDRESS,cspg-yi7g.tsv.gz,PythonRDD[1939] at RDD at PythonRDD.scala:53
72,QUEENS_CONDOMINIUM_PROPERTY_Neighborhood,crbs-vur7.tsv.gz,PythonRDD[1940] at RDD at PythonRDD.scala:53
73,City,erm2-nwe9.tsv.gz,PythonRDD[1941] at RDD at PythonRDD.scala:53
74,Owner_s__Phone__,nyis-y4yr.tsv.gz,[0]
75,Address_1,tukx-dsca.tsv.gz,PythonRDD[1942] at RDD at PythonRDD.scala:53
76,DBA,9b9u-8989.tsv.gz,PythonRDD[1943] at RDD at PythonRDD.scala:53
77,Agency_Name,e4p3-6ecr.tsv.gz,PythonRDD[1944] at RDD at PythonRDD.scala:53
78,BROOKLYN_CONDOMINIUM_PROPERTY_Neighborhood,5mw2-hzqx.tsv.gz,PythonRDD[1945] at RDD at PythonRDD.scala:53
79,Vehicle_Make,kiv2-tbus.tsv.gz,PythonRDD[1946] at RDD at PythonRDD.scala:53
80,COMPARABLE_RENTAL_1__Building_Classification,w6yt-hctp.tsv.gz,PythonRDD[1947] at RDD at PythonRDD.scala:53
81,CANDMI,k3cd-yu9d.tsv.gz,PythonRDD[1948] at RDD at PythonRDD.scala:53
82,Borough,ii2w-6fne.tsv.gz,PythonRDD[1949] at RDD at PythonRDD.scala:53
83,Location,w7w3-xahh.tsv.gz,PythonRDD[1950] at RDD at PythonRDD.scala:53
84,Park_Facility_Name,erm2-nwe9.tsv.gz,PythonRDD[1951] at RDD at PythonRDD.scala:53
85,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,5nz7-hh6t.tsv.gz,[0]
86,Website,8wbx-tsch.tsv.gz,PythonRDD[1952] at RDD at PythonRDD.scala:53
87,SCHOOL_LEVEL_,xne4-4v8f.tsv.gz,[0]
88,neighborhood,vw9i-7mzq.tsv.gz,PythonRDD[1953] at RDD at PythonRDD.scala:53
89,SCHOOL_LEVEL_,yayv-apxh.tsv.gz,[0]
90,Park_Facility_Name,aiww-p3af.tsv.gz,PythonRDD[1954] at RDD at PythonRDD.scala:53
91,Violation_Location__City_,jz4z-kudi.tsv.gz,[0]
92,Vehicle_Body_Type,kiv2-tbus.tsv.gz,PythonRDD[1955] at RDD at PythonRDD.scala:53
93,SCHOOL_LEVEL_,fzv4-jan3.tsv.gz,[0]
94,Address_ZIP,w7w3-xahh.tsv.gz,PythonRDD[1956] at RDD at PythonRDD.scala:53
95,INTEREST,i9pf-sj7c.tsv.gz,PythonRDD[1957] at RDD at PythonRDD.scala:53
96,ZIP,ci93-uc8s.tsv.gz,PythonRDD[1958] at RDD at PythonRDD.scala:53
97,School_Name,jtus-srrj.tsv.gz,PythonRDD[1959] at RDD at PythonRDD.scala:53
